L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
1.774433e-09,5.092504e-08,8.019788e-09,3.428399e-09,2.650872e+08,8.888697e+07,7.568131e+07
3.477905e-08,1.833515e-09,4.139927e-09,2.832573e-07,8.333833e+07,8.181620e+07,4.388005e+07
6.835099e-07,9.061627e-09,8.533719e-08,4.475944e-09,4.140554e+06,1.842579e+07,1.570199e+08
1.579977e-08,3.776174e-09,1.325450e-08,3.750325e-08,6.910237e+07,7.222269e+07,8.403101e+07
1.776582e-08,3.796255e-08,1.234229e-08,4.289412e-08,6.753197e+07,4.326909e+07,2.478126e+07
3.629387e-07,3.882679e-09,3.572179e-07,2.545497e-09,2.777261e+06,3.284189e+07,3.180885e+08
1.664156e-08,1.546218e-08,6.534307e-09,3.192005e-08,9.589661e+07,7.578154e+07,4.501248e+07
7.987256e-08,1.746804e-08,2.203853e-08,4.817556e-08,2.383471e+07,2.606516e+07,3.447185e+07
7.379322e-09,1.495960e-09,3.739757e-08,6.868646e-07,6.019634e+07,5.636371e+07,3.119640e+07
6.498037e-09,4.682281e-09,7.369696e-08,1.731993e-08,4.569663e+07,7.986124e+07,1.110448e+08
9.727233e-08,5.494510e-08,5.507879e-09,3.073679e-08,4.320292e+07,3.750321e+07,2.433359e+07
1.703615e-07,2.434761e-08,1.393988e-07,5.730758e-09,6.489106e+06,3.054565e+07,8.465758e+07
2.980548e-09,6.055398e-07,1.744906e-07,9.220138e-09,4.384963e+07,1.369856e+07,1.338320e+07
4.865443e-08,7.123063e-08,6.267520e-07,6.355295e-09,5.726522e+06,3.641165e+07,4.700010e+07
3.425757e-08,2.138140e-08,8.880358e-07,1.178096e-09,5.733324e+06,1.235970e+08,1.992469e+08
6.687902e-08,4.156925e-07,1.232912e-08,1.001767e-09,3.482483e+07,4.729327e+07,4.900389e+07
8.105979e-08,2.621130e-08,4.816510e-08,1.249486e-08,1.600409e+07,3.065334e+07,5.525734e+07
1.203553e-08,9.441299e-08,2.131208e-09,9.632264e-09,1.974488e+08,7.337039e+07,3.316041e+07
4.364602e-07,4.730073e-08,2.737509e-09,3.965940e-08,2.893010e+07,2.841194e+07,2.308836e+07
8.837102e-08,1.655120e-08,1.570068e-07,9.976266e-07,8.489572e+06,8.381950e+06,7.782179e+06
3.591631e-08,2.401656e-09,8.257190e-07,2.625253e-07,5.806815e+06,1.144617e+07,3.982530e+07
2.558564e-07,2.849401e-08,2.492191e-09,1.691253e-09,3.960146e+07,5.908063e+07,1.440519e+08
3.654562e-07,5.897784e-08,1.405412e-08,2.790280e-09,1.395342e+07,3.181244e+07,7.795279e+07
9.295109e-07,4.067625e-07,2.688485e-08,4.174470e-09,6.325850e+06,1.439109e+07,2.426771e+07
1.193167e-09,4.124127e-07,1.293858e-08,5.292764e-09,2.545107e+08,2.537064e+07,2.140389e+07
2.317947e-09,2.257037e-07,4.244260e-09,1.474863e-07,3.188212e+08,3.260405e+07,5.480936e+06
7.809743e-09,3.632138e-09,3.279342e-08,2.676493e-08,6.248680e+07,7.700984e+07,1.014228e+08
8.921716e-08,6.626650e-07,1.319382e-08,3.376867e-07,2.914678e+07,1.023440e+07,2.113956e+06
2.080458e-07,2.539093e-07,1.371116e-08,3.226323e-08,1.872334e+07,1.499917e+07,1.104859e+07
4.157301e-09,1.706912e-07,3.950991e-08,4.602553e-09,7.802635e+07,3.724752e+07,3.567756e+07
4.250092e-07,7.512313e-08,2.596961e-07,3.487841e-09,3.010011e+06,2.410328e+07,6.177814e+07
1.278476e-09,5.072881e-09,3.390511e-08,3.062738e-08,1.518872e+08,9.891644e+07,8.022649e+07
2.609056e-08,1.412092e-07,6.303942e-08,5.967923e-08,2.465768e+07,1.396336e+07,1.089324e+07
1.809531e-07,1.197830e-08,1.423524e-09,3.951100e-09,6.230669e+07,7.037708e+07,1.453595e+08
2.584234e-09,1.766493e-08,5.556900e-09,1.016650e-09,2.638869e+08,2.397145e+08,2.359708e+08
1.154002e-07,1.962667e-09,2.866440e-08,5.466061e-07,1.738703e+07,1.768732e+07,3.053089e+07
8.449046e-08,4.160113e-07,4.560808e-09,5.795439e-09,5.094191e+07,2.797914e+07,2.036593e+07
1.122667e-09,1.372868e-09,1.061801e-07,5.277623e-09,9.159103e+07,2.823141e+08,3.715066e+08
2.273890e-07,5.468386e-08,4.616269e-07,1.479961e-09,3.086524e+06,4.902179e+07,1.111592e+08
1.688582e-09,3.032095e-08,2.013136e-07,1.470867e-09,5.423783e+07,1.462697e+08,1.497414e+08
4.783706e-09,4.275820e-08,9.514586e-07,4.931766e-08,1.482255e+07,2.118039e+07,2.177655e+07
6.399542e-08,2.909714e-08,1.549379e-09,8.427574e-07,1.004261e+08,8.334173e+07,6.385921e+06
9.844940e-07,1.148604e-07,4.223240e-08,2.252338e-07,4.904227e+06,5.057384e+06,6.217246e+06
6.696687e-07,6.471258e-09,5.704475e-07,2.329372e-09,1.617939e+06,2.524917e+07,2.575646e+08
4.624808e-07,2.069075e-07,1.471370e-08,7.311374e-07,1.212250e+07,1.017716e+07,2.571061e+06
2.624367e-09,4.856944e-07,1.010004e-07,3.213500e-09,6.142230e+07,2.564250e+07,2.531217e+07
5.625086e-07,1.176931e-08,1.237915e-08,1.723531e-07,1.198367e+07,1.227878e+07,2.220317e+07
1.166306e-07,3.017791e-08,5.199557e-09,7.754395e-07,4.060791e+07,3.631553e+07,6.537045e+06
4.181336e-09,1.028993e-08,6.723429e-07,7.955357e-09,1.886023e+07,9.374999e+07,1.105259e+08
1.103076e-08,7.673048e-07,3.432400e-07,2.797555e-09,1.625169e+07,2.151741e+07,2.158374e+07
2.783018e-09,2.110711e-07,6.065106e-09,3.705544e-08,2.434012e+08,2.995285e+07,1.130732e+07
2.921327e-08,1.257851e-08,9.918288e-09,7.472425e-07,5.874779e+07,4.944239e+07,1.031465e+07
2.950541e-09,8.524076e-09,9.710103e-07,1.876077e-08,1.868260e+07,6.881151e+07,7.907716e+07
1.782829e-09,5.536910e-09,2.941965e-08,3.408004e-07,1.380786e+08,7.102535e+07,2.302058e+07
4.999529e-08,4.700478e-09,6.822510e-07,4.186086e-08,5.414563e+06,2.153029e+07,7.128939e+07
7.145765e-07,2.637754e-08,1.757840e-09,5.577625e-07,2.821538e+07,2.775223e+07,8.244384e+06
1.297278e-09,3.093678e-07,2.407779e-07,9.068458e-07,5.658160e+07,4.113187e+06,1.887973e+06
1.031137e-09,1.607767e-09,3.814299e-08,2.130793e-09,1.594536e+08,4.333326e+08,5.402786e+08
1.279929e-09,1.215226e-09,7.466337e-07,7.611085e-09,3.234844e+07,2.306377e+08,3.288124e+08
2.936674e-07,1.575247e-09,1.535630e-09,2.926721e-07,4.709002e+07,4.708728e+07,4.657308e+07
2.438237e-07,1.166699e-07,1.031676e-07,3.199760e-08,6.305076e+06,1.065745e+07,1.636673e+07
3.359167e-09,8.609660e-07,7.783095e-07,1.761525e-08,1.955726e+07,8.195528e+06,8.120124e+06
1.536958e-08,3.619050e-07,3.478032e-09,1.672283e-08,1.367736e+08,3.034132e+07,1.285428e+07
7.219894e-08,1.317805e-07,1.477816e-07,1.882235e-07,9.681095e+06,7.695426e+06,6.349470e+06
2.497793e-07,8.880039e-09,1.214892e-09,3.080672e-08,5.740541e+07,5.751298e+07,6.046023e+07
