L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
1.344596e-07,1.680896e-09,7.595618e-09,1.458167e-08,3.129122e+07,3.835089e+07,2.019882e+08
1.850548e-08,8.105921e-07,4.362250e-08,1.589904e-08,3.519610e+07,1.017404e+07,8.808733e+06
8.512226e-07,2.441806e-07,9.439634e-09,1.001775e-08,1.115580e+07,1.370543e+07,2.021898e+07
2.459768e-07,2.012248e-09,2.917863e-07,1.154350e-09,3.732677e+06,5.922054e+07,6.561310e+08
9.896526e-09,6.030599e-08,1.903891e-07,6.436170e-07,2.303762e+07,9.846310e+06,5.075818e+06
1.321309e-07,3.254360e-07,3.525453e-07,1.162683e-07,4.633299e+06,4.999593e+06,5.140869e+06
2.347283e-09,2.058443e-09,2.248424e-09,1.347773e-08,4.352895e+08,3.432061e+08,1.898551e+08
1.088839e-07,2.724555e-07,7.117281e-09,4.263339e-09,3.592205e+07,3.136138e+07,2.934116e+07
5.424317e-07,7.559874e-09,4.812909e-08,2.292597e-08,6.189046e+06,1.082061e+07,7.595893e+07
1.445546e-07,6.312895e-07,1.167400e-09,2.382896e-09,7.697933e+07,4.055857e+07,2.578299e+07
2.341023e-07,3.287072e-08,4.284823e-09,7.390172e-09,3.157408e+07,3.716216e+07,6.416055e+07
5.311394e-07,6.690440e-09,1.183834e-09,5.352301e-08,3.987956e+07,4.006662e+07,5.284482e+07
4.099299e-08,1.387425e-07,1.360746e-07,7.402262e-08,1.338926e+07,1.077265e+07,9.867635e+06
2.223362e-09,2.126765e-07,1.729950e-08,1.778638e-08,1.612420e+08,2.303497e+07,1.625910e+07
2.510942e-09,1.060343e-08,2.706387e-09,1.201586e-07,3.836072e+08,1.697336e+08,2.801557e+07
1.001184e-08,7.106477e-08,1.407506e-09,3.623817e-08,2.663901e+08,9.541169e+07,1.970560e+07
4.574274e-08,3.722741e-07,1.034566e-07,5.049234e-09,1.453650e+07,2.229142e+07,2.306513e+07
2.820127e-09,1.672771e-08,3.578641e-09,5.392537e-08,3.147796e+08,1.234651e+08,3.329547e+07
8.329567e-07,4.845007e-08,8.034303e-07,5.641756e-09,1.222404e+06,1.423063e+07,6.048471e+07
3.553217e-09,6.166048e-08,7.870351e-09,6.047332e-07,1.891002e+08,4.442643e+07,5.178627e+06
2.722849e-09,8.501404e-09,1.943681e-07,6.585753e-09,4.346860e+07,1.182645e+08,1.336448e+08
3.451068e-09,1.061648e-07,1.088995e-07,7.125162e-07,5.158344e+07,9.827305e+06,3.635903e+06
6.581559e-09,1.361618e-09,9.037359e-07,1.380815e-07,1.296626e+07,3.241979e+07,7.292972e+07
2.158090e-07,1.507594e-07,2.150178e-07,1.059493e-07,4.642245e+06,6.199639e+06,7.912408e+06
7.002233e-08,7.567551e-07,5.818362e-09,3.251239e-07,4.954289e+07,1.454645e+07,2.016034e+06
1.718603e-08,3.741592e-08,1.377922e-08,2.723144e-09,6.498302e+07,8.974729e+07,9.906870e+07
1.033804e-07,1.653576e-08,8.354888e-07,1.335714e-08,3.402597e+06,2.518537e+07,6.728699e+07
3.618165e-09,2.813861e-07,8.026561e-09,7.820735e-07,1.855629e+08,2.101488e+07,2.131694e+06
6.286367e-07,2.315503e-09,3.323167e-08,7.442694e-07,6.918693e+06,7.058478e+06,2.408864e+07
1.672822e-08,1.471897e-09,2.643657e-09,5.268989e-09,1.503739e+08,1.766678e+08,3.590852e+08
3.082566e-07,5.428250e-07,9.967401e-08,1.833204e-07,5.704963e+06,4.265864e+06,3.170040e+06
1.636953e-08,4.975658e-09,2.702326e-09,1.273895e-08,1.503533e+08,1.449626e+08,1.256053e+08
1.945867e-08,2.655051e-08,4.733109e-08,1.910355e-09,3.295112e+07,1.087960e+08,1.404127e+08
3.659036e-08,1.738656e-07,7.994991e-08,6.034446e-07,1.848875e+07,8.204034e+06,3.087269e+06
1.561989e-08,3.855953e-08,1.283775e-09,1.971289e-07,2.233144e+08,1.202951e+08,1.146988e+07
3.110613e-09,6.615515e-07,1.022263e-08,3.998930e-07,1.773355e+08,1.228569e+07,1.944224e+06
1.328617e-08,1.074826e-08,8.812357e-08,3.719717e-09,2.922497e+07,1.079707e+08,1.581525e+08
8.162162e-07,1.267827e-08,2.027773e-07,1.928372e-08,2.458033e+06,8.277163e+06,6.395503e+07
1.041270e-09,1.468852e-08,5.161041e-07,1.224666e-07,4.313697e+07,2.534344e+07,2.357774e+07
2.859005e-09,3.628686e-09,7.439426e-07,2.820518e-08,2.168317e+07,7.531319e+07,9.884641e+07
1.474046e-09,4.148682e-09,9.955416e-07,2.586099e-09,2.610446e+07,2.625834e+08,3.052969e+08
3.096395e-08,2.236143e-08,3.269643e-09,1.020929e-09,9.938518e+07,1.552540e+08,2.092920e+08
9.611880e-07,6.114917e-09,1.555239e-09,3.532260e-07,2.586409e+07,2.583891e+07,2.151683e+07
4.884244e-07,4.340080e-09,1.334379e-09,1.754105e-09,3.917074e+07,5.174705e+07,3.624293e+08
7.522168e-09,2.422042e-07,6.790091e-09,2.334109e-07,1.399235e+08,2.463524e+07,4.205800e+06
2.900513e-09,1.457148e-07,2.798623e-08,3.414175e-08,1.109917e+08,2.091687e+07,1.417768e+07
2.463358e-09,1.475658e-09,5.767914e-07,2.667555e-07,2.652937e+07,3.730738e+07,5.040231e+07
3.936826e-07,7.542936e-08,3.496624e-08,2.157887e-07,8.523196e+06,8.416814e+06,7.838184e+06
1.451522e-09,1.240052e-08,2.641753e-08,3.827457e-07,1.614887e+08,5.404932e+07,1.451527e+07
1.559382e-07,1.192695e-07,5.590091e-08,5.286073e-08,1.071061e+07,1.156462e+07,1.259415e+07
1.092848e-08,2.349029e-09,5.073528e-09,5.620894e-09,1.342966e+08,1.680593e+08,2.752030e+08
4.459135e-09,1.171355e-09,2.736864e-08,1.367860e-09,9.052074e+07,3.692295e+08,7.900142e+08
9.974663e-09,2.581632e-08,1.464161e-07,6.151923e-07,2.616715e+07,1.537019e+07,7.935008e+06
2.675170e-07,3.554326e-08,5.916575e-09,4.453294e-07,2.513559e+07,2.377203e+07,7.948418e+06
3.559900e-09,9.858815e-08,2.301007e-08,2.223261e-07,1.104898e+08,2.166764e+07,6.754488e+06
4.721991e-09,2.637216e-09,1.733578e-07,2.846753e-09,3.495150e+07,2.202655e+08,3.649659e+08
3.687639e-09,3.837112e-08,1.248260e-07,4.921920e-09,4.660938e+07,7.086017e+07,7.276633e+07
1.244724e-08,9.167025e-07,1.809037e-09,2.919896e-08,2.107365e+08,2.513544e+07,6.112263e+06
5.377514e-07,1.435325e-09,3.292785e-07,1.169798e-08,2.376444e+06,1.281314e+07,2.440447e+08
2.164942e-09,2.004173e-07,7.205352e-09,4.015646e-07,2.531916e+08,2.640788e+07,3.524964e+06
4.852111e-09,1.638114e-07,5.977500e-07,1.567591e-09,1.856842e+07,6.158029e+07,6.240387e+07
1.849537e-09,7.486446e-07,6.263220e-09,5.292594e-07,2.938121e+08,1.467176e+07,1.588649e+06
1.198718e-07,6.849051e-09,7.206575e-07,4.916051e-09,3.402335e+06,4.020167e+07,1.723362e+08
8.550246e-09,3.171687e-08,7.614248e-08,4.430141e-09,3.919198e+07,7.701870e+07,8.436185e+07
1.835794e-09,2.503263e-09,7.795460e-09,1.352480e-09,2.643426e+08,4.471752e+08,5.434772e+08
3.053935e-08,4.995408e-09,2.214681e-09,3.776175e-08,1.215947e+08,1.159828e+08,7.280957e+07
1.369181e-08,9.086386e-09,1.737891e-08,1.025155e-07,6.482736e+07,5.435429e+07,3.276497e+07
1.279055e-09,2.051464e-07,4.867203e-08,1.174793e-07,1.267405e+08,1.186451e+07,6.441504e+06
2.978113e-09,4.106412e-08,7.231935e-07,1.744433e-09,2.154776e+07,1.142250e+08,1.181521e+08
5.818007e-07,4.428281e-08,3.452636e-07,1.109370e-09,2.231195e+06,3.800513e+07,1.426738e+08
3.550590e-07,6.478440e-08,3.560918e-08,1.103012e-07,8.893419e+06,9.406506e+06,1.182973e+07
1.047339e-07,7.776371e-08,5.781210e-08,3.088219e-08,1.285130e+07,1.649893e+07,2.040598e+07
1.525370e-09,4.390145e-09,3.676021e-08,7.596907e-09,1.335437e+08,1.638619e+08,1.731578e+08
1.167756e-07,3.056861e-09,8.848825e-08,8.583761e-07,9.837420e+06,1.019941e+07,1.952196e+07
1.391700e-07,6.370887e-07,8.452872e-07,1.814805e-08,2.915580e+06,8.515194e+06,9.300046e+06
8.994089e-07,6.597567e-07,1.011152e-07,8.302879e-08,3.315990e+06,3.750681e+06,4.272615e+06
4.252328e-07,1.815172e-09,2.292175e-07,1.221433e-08,3.203043e+06,1.421020e+07,2.123764e+08
1.385857e-09,6.781028e-09,6.565463e-09,2.053735e-08,3.315188e+08,1.568824e+08,8.473836e+07
1.415789e-08,3.999786e-08,8.668944e-09,4.529569e-09,9.026464e+07,7.878231e+07,7.429390e+07
5.504517e-08,8.184767e-08,1.632927e-08,9.199350e-07,3.335470e+07,2.133767e+07,3.644335e+06
3.932309e-08,1.715907e-09,1.165568e-09,1.539198e-08,1.477091e+08,1.499628e+08,1.945834e+08
1.236187e-09,4.406820e-08,4.457671e-08,2.800999e-08,1.347113e+08,3.582184e+07,2.846301e+07
2.733719e-07,4.049461e-08,4.043712e-07,5.190949e-07,3.007689e+06,3.743902e+06,6.897282e+06
